metric,value
n_total,1664.0
n_positive,847.0
n_negative,817.0
n_orphan_headers_repaired,1.0
n_duplicate_sequences_dropped,333.0
n_unique_sequences,1664.0
len_positive_min,40.0
len_positive_median,135.0
len_positive_max,768.0
len_positive_mean,182.8
aromatic_frac_positive_mean,0.0776
len_negative_min,72.0
len_negative_median,344.0
len_negative_max,2054.0
len_negative_mean,353.4
aromatic_frac_negative_mean,0.0551
n_seqs_with_noncanonical_residues,8.0
redundant_n_total,1997.0
redundant_n_positive,998.0
redundant_n_negative,999.0
